1:[(2, 177.05918988138916), (3, 550.8308402025793), (4, 717.9595187913906), (5, 981.5009421350236), (6, 615.1036266333763), (7, 455.3630208850223), (8, 83.67671206544635), (9, 137.889978041598), (10, 345.57941578576236), (11, 136.66959457638458), (12, 564.2454801450292), (13, 344.6859685540346), (14, 434.63097728838676)]
2:[(1, 177.05918988138916), (3, 449.85172912087125), (4, 667.9445836871404), (5, 1016.763134451483), (6, 637.8727334258224), (7, 521.5191379998446), (8, 213.02810387917216), (9, 314.2912520070952), (10, 477.85980334096496), (11, 313.6072752242591), (12, 574.554992609432), (13, 433.5136639543748), (14, 402.8065663383319)]
3:[(1, 550.8308402025793), (2, 449.85172912087125), (4, 269.9012081194642), (5, 747.8679415997757), (6, 421.7457444292003), (7, 469.29607306844275), (8, 509.37760055591866), (9, 662.6531481173032), (10, 896.0402599642993), (11, 646.4240003473832), (12, 354.75703246563904), (13, 486.3951065383912), (14, 209.9605449128377)]
4:[(1, 717.9595187913906), (2, 667.9445836871404), (3, 269.9012081194642), (5, 504.78536321435917), (6, 279.38294820506246), (7, 434.0442265328655), (8, 653.0911179906619), (9, 797.3039224389114), (10, 1054.3849388992107), (11, 775.5367705910836), (12, 248.6146722140249), (13, 512.2963628464126), (14, 283.5596821268362)]
5:[(1, 981.5009421350236), (2, 1016.763134451483), (3, 747.8679415997757), (4, 504.78536321435917), (6, 379.16989233192027), (7, 529.9165824907702), (8, 898.5495524634212), (9, 993.3569388168672), (10, 1246.9069319839919), (11, 967.777559292452), (12, 445.6937762070607), (13, 647.435664115104), (14, 634.8204818428853)]
6:[(1, 615.1036266333763), (2, 637.8727334258224), (3, 421.7457444292003), (4, 279.38294820506246), (5, 379.16989233192027), (7, 197.66679414112366), (8, 534.4775208161021), (9, 649.1914499920049), (10, 910.8941530137662), (11, 624.2122076150716), (12, 71.47250061632657), (13, 309.2099207991016), (14, 263.3897549873934)]
7:[(1, 455.3630208850223), (2, 521.5191379998446), (3, 469.29607306844275), (4, 434.0442265328655), (5, 529.9165824907702), (6, 197.66679414112366), (8, 371.7367652898989), (9, 465.3664744757947), (10, 723.5555633514024), (11, 439.87266540974946), (12, 188.9149198867912), (13, 118.45948389482318), (14, 261.13849100963876)]
8:[(1, 83.67671206544635), (2, 213.02810387917216), (3, 509.37760055591866), (4, 653.0911179906619), (5, 898.5495524634212), (6, 534.4775208161021), (7, 371.7367652898989), (9, 153.2901567684864), (10, 401.4555098552472), (11, 137.8928076706438), (12, 486.07618316807446), (13, 261.32234681913945), (14, 370.0585429064083)]
9:[(1, 137.889978041598), (2, 314.2912520070952), (3, 662.6531481173032), (4, 797.3039224389114), (5, 993.3569388168672), (6, 649.1914499920049), (7, 465.3664744757947), (8, 153.2901567684864), (10, 262.56223033080636), (11, 25.582040637068065), (12, 610.3603203906157), (13, 346.9244370703917), (14, 516.795187746822)]
10:[(1, 345.57941578576236), (2, 477.85980334096496), (3, 896.0402599642993), (4, 1054.3849388992107), (5, 1246.9069319839919), (6, 910.8941530137662), (7, 723.5555633514024), (8, 401.4555098552472), (9, 262.56223033080636), (11, 287.0375118371856), (12, 872.9225410560061), (13, 605.4188586735911), (14, 771.5139852728204)]
11:[(1, 136.66959457638458), (2, 313.6072752242591), (3, 646.4240003473832), (4, 775.5367705910836), (5, 967.777559292452), (6, 624.2122076150716), (7, 439.87266540974946), (8, 137.8928076706438), (9, 25.582040637068065), (10, 287.0375118371856), (12, 586.0393542331376), (13, 321.4214890080962), (14, 496.0345723042682)]
12:[(1, 564.2454801450292), (2, 574.554992609432), (3, 354.75703246563904), (4, 248.6146722140249), (5, 445.6937762070607), (6, 71.47250061632657), (7, 188.9149198867912), (8, 486.07618316807446), (9, 610.3603203906157), (10, 872.9225410560061), (11, 586.0393542331376), (13, 284.30084633436945), (14, 192.3273191106929)]
13:[(1, 344.6859685540346), (2, 433.5136639543748), (3, 486.3951065383912), (4, 512.2963628464126), (5, 647.435664115104), (6, 309.2099207991016), (7, 118.45948389482318), (8, 261.32234681913945), (9, 346.9244370703917), (10, 605.4188586735911), (11, 321.4214890080962), (12, 284.30084633436945), (14, 280.46913030044857)]
14:[(1, 434.63097728838676), (2, 402.8065663383319), (3, 209.9605449128377), (4, 283.5596821268362), (5, 634.8204818428853), (6, 263.3897549873934), (7, 261.13849100963876), (8, 370.0585429064083), (9, 516.795187746822), (10, 771.5139852728204), (11, 496.0345723042682), (12, 192.3273191106929), (13, 280.46913030044857)]
0:[15]
